experiment_version_id,X_FORMULA__SJ_230_PCT,X_FORMULA__SJ_231_PCT,X_FORMULA__SJ_232_PCT,X_FORMULA__SJ_230_WASHED_PCT,X_FORMULA__SJ_231_WASHED_PCT,X_FORMULA__SJ_232_WASHED_PCT,X_FORMULA__DSP_3315_PCT,X_FORMULA__SS059_PC_1_1_PCT,X_FORMULA__S_48_PCT,X_PROCESS__COATING_SOLIDS_PCT,X_PROCESS__UVA_INTENSITY_MW_CM2,X_PROCESS__UV_ENERGY_MJ_CM2,X_PROCESS__FILM_THICKNESS_UM,X_ENV__TEMPERATURE_C,X_ENV__HUMIDITY_RH_PCT,X_CONTEXT__SUBSTRATE,X_CONTEXT__APPLICATION_METHOD,X_CONTEXT__CURING_SOURCE,Y__WARPING_PET_INITIAL_CM,Y__WARPING_PET_12H_CM,Y__HARDNESS_PET_1KG_ORD,Y__STEEL_WOOL_500G_CYCLES,Y__STEEL_WOOL_1KG_CYCLES
SYN-UVPU-APP-0001-V1,55.9131,0.0,0.0,0.0,0.0,0.0,1.5241,1.6213,40.9414,39.0,145.0,750.0,9.64,23.0,50.0,PET_100UM_OPTICAL,WIRE_BAR_ROLL_COAT_40UM,MERCURY_LAMP_UV,2.97,3.65,2.0,164.0,17.0
SYN-UVPU-APP-0011-V1,0.0,52.7081,0.0,0.0,0.0,0.0,1.7049,1.5261,44.0609,39.0,145.0,750.0,9.8,23.0,50.0,PET_100UM_OPTICAL,WIRE_BAR_ROLL_COAT_40UM,MERCURY_LAMP_UV,3.58,1.98,2.0,5.0,5.0
SYN-UVPU-APP-0021-V1,0.0,0.0,55.9384,0.0,0.0,0.0,1.7048,1.261,41.0958,39.0,145.0,750.0,10.75,23.0,50.0,PET_100UM_OPTICAL,WIRE_BAR_ROLL_COAT_40UM,MERCURY_LAMP_UV,2.33,3.08,2.0,130.0,22.0
SYN-UVPU-APP-0031-V1,0.0,0.0,0.0,52.0687,0.0,0.0,1.2768,1.1672,45.4873,39.0,145.0,750.0,8.89,23.0,50.0,PET_100UM_OPTICAL,WIRE_BAR_ROLL_COAT_40UM,MERCURY_LAMP_UV,3.07,3.56,2.0,305.0,70.0
SYN-UVPU-APP-0041-V1,0.0,0.0,0.0,0.0,55.1916,0.0,1.8216,1.0911,41.8957,39.0,145.0,750.0,10.24,23.0,50.0,PET_100UM_OPTICAL,WIRE_BAR_ROLL_COAT_40UM,MERCURY_LAMP_UV,2.55,0.0,2.0,5.0,
SYN-UVPU-APP-0051-V1,0.0,0.0,0.0,0.0,0.0,69.8575,1.8593,1.3939,26.8894,39.0,145.0,750.0,10.54,23.0,50.0,PET_100UM_OPTICAL,WIRE_BAR_ROLL_COAT_40UM,MERCURY_LAMP_UV,1.8,2.62,2.0,398.0,73.0
SYN-UVPU-APP-0061-V1,51.2773,0.0,0.0,0.0,0.0,0.0,1.4605,1.2831,45.979,39.0,185.0,900.0,10.47,24.5,60.0,PET_100UM_OPTICAL,WIRE_BAR_ROLL_COAT_40UM,MERCURY_LAMP_UV,2.49,3.5,2.0,288.0,87.0
SYN-UVPU-APP-0071-V1,0.0,54.8156,0.0,0.0,0.0,0.0,1.8035,1.4397,41.9411,39.0,185.0,900.0,8.84,24.5,60.0,PET_100UM_OPTICAL,WIRE_BAR_ROLL_COAT_40UM,MERCURY_LAMP_UV,3.02,1.5,2.0,170.0,76.0
SYN-UVPU-APP-0081-V1,0.0,0.0,51.4779,0.0,0.0,0.0,1.6427,1.2522,45.6273,39.0,185.0,900.0,11.85,24.5,60.0,PET_100UM_OPTICAL,WIRE_BAR_ROLL_COAT_40UM,MERCURY_LAMP_UV,2.15,3.63,3.0,400.0,159.0
SYN-UVPU-APP-0091-V1,0.0,0.0,0.0,51.3876,0.0,0.0,1.9108,1.4039,45.2977,39.0,185.0,900.0,8.51,24.5,60.0,PET_100UM_OPTICAL,WIRE_BAR_ROLL_COAT_40UM,MERCURY_LAMP_UV,2.35,3.12,3.0,546.0,
SYN-UVPU-APP-0101-V1,0.0,0.0,0.0,0.0,57.21,0.0,1.2555,1.163,40.3716,39.0,185.0,900.0,9.71,24.5,60.0,PET_100UM_OPTICAL,WIRE_BAR_ROLL_COAT_40UM,MERCURY_LAMP_UV,1.81,0.08,3.0,173.0,101.0
SYN-UVPU-APP-0111-V1,0.0,0.0,0.0,0.0,0.0,67.0044,1.7196,1.2766,29.9994,39.0,185.0,900.0,9.73,24.5,60.0,PET_100UM_OPTICAL,WIRE_BAR_ROLL_COAT_40UM,MERCURY_LAMP_UV,1.54,,,653.0,
SYN-UVPU-APP-0121-V1,49.5949,0.0,0.0,0.0,0.0,0.0,1.7671,1.2815,47.3564,41.0,175.0,850.0,8.57,24.5,75.0,PET_100UM_OPTICAL,WIRE_BAR_ROLL_COAT_40UM,MERCURY_LAMP_UV,2.42,3.99,2.0,338.0,102.0
SYN-UVPU-APP-0131-V1,0.0,51.9766,0.0,0.0,0.0,0.0,1.6628,1.1651,45.1955,41.0,175.0,850.0,10.32,24.5,75.0,PET_100UM_OPTICAL,WIRE_BAR_ROLL_COAT_40UM,MERCURY_LAMP_UV,3.41,1.71,2.0,75.0,
SYN-UVPU-APP-0141-V1,0.0,0.0,52.3393,0.0,0.0,0.0,1.8589,1.1581,44.6438,41.0,175.0,850.0,11.27,24.5,75.0,PET_100UM_OPTICAL,WIRE_BAR_ROLL_COAT_40UM,MERCURY_LAMP_UV,3.01,4.37,3.0,331.0,99.0
SYN-UVPU-APP-0151-V1,0.0,0.0,0.0,54.3987,0.0,0.0,1.499,1.1023,43.0,41.0,175.0,850.0,10.02,24.5,75.0,PET_100UM_OPTICAL,WIRE_BAR_ROLL_COAT_40UM,MERCURY_LAMP_UV,,3.38,2.0,515.0,
SYN-UVPU-APP-0161-V1,0.0,0.0,0.0,0.0,55.0609,0.0,1.861,1.365,41.7131,41.0,175.0,850.0,10.01,24.5,75.0,PET_100UM_OPTICAL,WIRE_BAR_ROLL_COAT_40UM,MERCURY_LAMP_UV,2.95,0.0,2.0,,5.0
SYN-UVPU-APP-0171-V1,0.0,0.0,0.0,0.0,0.0,70.08,1.4269,1.1547,27.3384,41.0,175.0,850.0,8.53,24.5,75.0,PET_100UM_OPTICAL,WIRE_BAR_ROLL_COAT_40UM,MERCURY_LAMP_UV,1.51,2.68,2.0,496.0,
SYN-UVPU-APP-0181-V1,50.8511,0.0,0.0,0.0,0.0,0.0,1.4646,1.443,46.2414,40.0,145.0,950.0,9.21,24.5,70.0,PET_100UM_OPTICAL,WIRE_BAR_ROLL_COAT_40UM,MERCURY_LAMP_UV,2.46,3.58,2.0,315.0,
SYN-UVPU-APP-0191-V1,0.0,55.1807,0.0,0.0,0.0,0.0,1.8046,1.2685,41.7462,40.0,145.0,950.0,9.49,24.5,70.0,PET_100UM_OPTICAL,WIRE_BAR_ROLL_COAT_40UM,MERCURY_LAMP_UV,,1.93,3.0,228.0,128.0
SYN-UVPU-APP-0201-V1,0.0,0.0,57.1382,0.0,0.0,0.0,1.6772,0.9877,40.1968,40.0,145.0,950.0,9.54,24.5,70.0,PET_100UM_OPTICAL,WIRE_BAR_ROLL_COAT_40UM,MERCURY_LAMP_UV,2.27,3.22,3.0,388.0,161.0
SYN-UVPU-APP-0211-V1,0.0,0.0,0.0,49.8032,0.0,0.0,1.5633,1.2891,47.3444,40.0,145.0,950.0,9.77,24.5,70.0,PET_100UM_OPTICAL,WIRE_BAR_ROLL_COAT_40UM,MERCURY_LAMP_UV,2.52,3.62,3.0,458.0,175.0
